,LSB,,,,,MSB
Mnemonic,Opcode,rd,funct3,rs1,rs2/imm/shamt,funct7
R-type,,,,,,
ADD,0110011,-----,000,-----,-----,0000000
SUB,0110011,-----,000,-----,-----,0100000
SLL,0110011,-----,001,-----,-----,0000000
SLT,0110011,-----,010,-----,-----,0000000
SLTU,0110011,-----,011,-----,-----,0000000
XOR,0110011,-----,100,-----,-----,0000000
SRL,0110011,-----,101,-----,-----,0000000
SRA,0110011,-----,101,-----,-----,0100000
OR,0110011,-----,110,-----,-----,0000000
AND,0110011,-----,111,-----,-----,0000000
I-type (immediate ALU),,,,,,
ADDI,0010011,-----,000,-----,imm[11:0],
SLTI,0010011,-----,010,-----,imm[11:0],
SLTIU,0010011,-----,011,-----,imm[11:0],
XORI,0010011,-----,100,-----,imm[11:0],
ORI,0010011,-----,110,-----,imm[11:0],
ANDI,0010011,-----,111,-----,imm[11:0],
SLLI,0010011,-----,001,-----,shamt,0000000
SRLI,0010011,-----,101,-----,shamt,0000000
SRAI,0010011,-----,101,-----,shamt,0100000
I-type (loads),,,,,,
LB,0000011,-----,000,-----,imm[11:0],
LH,0000011,-----,001,-----,imm[11:0],
LW,0000011,-----,010,-----,imm[11:0],
LBU,0000011,-----,100,-----,imm[11:0],
LHU,0000011,-----,101,-----,imm[11:0],
S-type,,,,,,
SB,0100011,imm[11:5],000,-----,-----,imm[4:0]
SH,0100011,imm[11:5],001,-----,-----,imm[4:0]
SW,0100011,imm[11:5],010,-----,-----,imm[4:0]
B-type,,,,,,
BEQ,1100011,imm[12|10:5],000,-----,-----,imm[4:1|11]
BNE,1100011,imm[12|10:5],001,-----,-----,imm[4:1|11]
BLT,1100011,imm[12|10:5],100,-----,-----,imm[4:1|11]
BGE,1100011,imm[12|10:5],101,-----,-----,imm[4:1|11]
BLTU,1100011,imm[12|10:5],110,-----,-----,imm[4:1|11]
BGEU,1100011,imm[12|10:5],111,-----,-----,imm[4:1|11]
U-type,,,,,,
LUI,0110111,-----,,,imm[31:12],
AUIPC,0010111,-----,,,imm[31:12],
J-type,,,,,,
JAL,1101111,-----,,,imm[20|10:1|11|19:12],
I-type (JALR),,,,,,
JALR,1100111,-----,000,-----,imm[11:0],
System,,,,,,
ECALL,1110011,,,,000000000000,
EBREAK,1110011,,,,000000000001,
